Rank,Title,Heat,Link
2.,优衣库创始人言论争议,151.3万,https://tophub.today/l?e=a849ysjxe55JjXsYHx%2FLJD7sSobbQ9yQrT3NrK1FzHm1zkT1bIVSeA%2BWzX1D%2F8x23FIUAeyilkSNoPJ3EL1tGsIopOBysumVMlcI2OY9KQgWUfnYaqAs%2FshK1P%2Fhz3kjz4XgCoOn4YuXGtP7Gh6gH7rV0QvnJ%2FzqtLjHYU46TeFNjbf%2BcE747jGAl9upxwNUq1FHsp58JYsWTZ55GVeQZsRyaioXGKpOQEMys8AM4gb2HrGaaEzNmo0UCuJM29jglSO%2B3kpn2FR1vzjASjxdgozbpqr9vPQvCC%2BiMFtnpn%2FXWTyvZ4T4FSXkSN4PCU6iXKcmn6koajXM1vw
3.,鹿晗回应喝多了,105.2万,https://tophub.today/l?e=fa3f50Me78J9R71FHl76mz4MEXtoQkG%2F7AqWCrVpHNUNaY2Ffza8VcGXAtNQN3c6p6flVZnN7k8kn7HOg2b%2BL1yTsIriVLK36vltQpSpDYK6589drb10cjPm73Jm04XMqAB99AcrYPmj9aC6IJjwbwqpn5OZiwQ6MvMiAxylinSekO3DeHWMf9%2BY7B2u4Kqn2%2BpuFxul9hgxYN%2B0Xm8hNl%2FeyAOIbIHRrlwvphqdhxS3Ik3hhOG9q57nEgqAEkS8JiNRkeo2ffsjHoYCa9U
4.,43位志愿军烈士遗骸今日安葬,85.9万,https://tophub.today/l?e=cc18Cah7NIBPfg%2BMJkywdYnUUqoPm18qKZdTOTwaq79HwXEyO%2BvUrSNXhlcQ%2B91p9mzPSft7%2BVE5NkJ%2FlyEmlrYAyQOnPNyTzktnJeIimZjz%2FuD7gm33B2NDQIHC%2Fha%2F1C5IsK8RcpPcGPSDkErqjxTtC695tWqEsz05FAAjWmYSzw20%2BIMKMX%2B0CReABQjmPW8k5NfzbPxYq0nDM0yQGpWuTbznykU2XYTPbu4EPsrAVhBuOBKVgWxYrr52VU%2BFRIVsLjxLB29CN79i9oOzxAxO9BB6CrPwczqeLmjQbN4lM7HemfC%2BaJQy1lnrNfUFYJ5OZieEvrSGGapL5E2RuLTcpgbBrA71W%2BqiPfR%2B3%2F7RkQYTOW7xagL%2BpA
5.,17名男女KTV聚众吸毒被一锅端,75.6万,https://tophub.today/l?e=8185iJETsFSOWA17ShSf1sKLsiXnaA7qumUl7Pc4G1S4dH57JMBGHo12G4kVkKaFLemdR8gKTVId9PIUgA9alnGskgWsgTNThxsYGQIjRzoDTDEBvXKo%2BJCeaBlIQseRghn4%2Bl%2BVoqNSOoT38Oclui2IMUKw9SvEUK1PCIkXocAs2Sp5XvTodYfrTurYU22Wi2plQslcV%2Bpc90lwnVWbZspi4CPxDeBhii1vKRtplKk17uOy49q87gUAgICILwz%2F%2BsYADaBBwUJll0j9RptO%2Bg9xiLwi3oZsO4m18%2F%2BHO1c2%2FMcA8N4zTQoCcWhVeEJjzlCv1loFLhiKHfWpbLh2U%2BU8MzSVg2OB%2B1R%2BaBUcRg
6.,辅警因为一次好奇9年后救了一条命,42.4万,https://tophub.today/l?e=701f4ulIohpp4nu%2B8YfoMVynnXk2YJp8u2psZl0PHIrvY8qDmy%2BmDHsjRpJheadtrdu4w1wD9OekApWaAIrfTiVt56i1NToVGll%2BkZc3%2FLPwuXFiFoDvU43vtUoKYPCUVKMR%2Fv7oVUN%2B1OxBLeGlRthwkFSzbIp4JmA8aysz%2BYrWtY3hRZR36dKZlrB2KbHdL3OFdz4IlVUsBCrSw3ejEUHtvNnmfh%2BJLrnNNUyAUmDyNeHsGcQX1KOD9q2fL%2BZVCnLW1vqOuKrlJB4X1q6zvyL2%2BMe2Igb%2BWgauAw1Tbcs5qPbvjYefxtt4DvV00SrOqG0tMNMSCQqCMb7QbXvxrfapHn66%2FiYdJwUplsNYd79GxX%2BClO3xpLS692ig%2BqRar8zfYVeLlfYbi%2B8DKTFDWe7v%2BKB%2BNY54v7LxfB4EWW4Hn6Fdjtdd
7.,山东一金店被抢损失或超千万,42.0万,https://tophub.today/l?e=6173MYkaFHVNtJiuIOH1IDZ1GpEpNBfs%2Fbcgm0u%2BdhIHAaPzcrYukOCa4%2FDRLjsJuLL%2BpbKUjp2wo0XnSPvk4kxpengQAyGaWx1zdrh63mmOxBmMGnQMcf%2BY%2ByhMIkTAwmMmiQS0a0G9lrVdXFWhDAGWNS3lud3vM%2Bjk%2Bb%2FX%2F6cpLWJZiY2J6Va%2FkJ3Me%2Bxh1osuwyCjbP8NV5OF7qVzU1Q2K0nMIN8qGsQHjBZQARBCLTLGAV59I7x%2BzA1LYaQxf2Q7RjhWeO0bV8IHWsGPpaMkVnAIF%2FH4BAmcRao2bwN2yssa7bAOwIzb1d6%2BfDtxq6h1Q3VFRZdk8Nbl%2FqP579tYA1E6mo6lDDRc3rWqFj8vzIR4%2FCdWDz0bEQuYA2euu0ji8mlk0Co
8.,吉利星主播,,https://tophub.today/l?e=f95ciG5xYL5Mcheng8DqfJOTUQCouMwAgqWIyLGS%2FLF%2FcWNbTZjFyrfwB2N7cC8tMhQjSlEF8V6mac9GsBwIYSZQhEJ3GdTHsX%2BSSTZk%2BLKcSgrBJJj7G2uBPKmTTq1iSMoXmjU5ATzVbd3FLxDP8JIZLO6iGlh2M9ExbT0GTxlwz2%2BENSMNb4EvQehJwWyV8aLDJA65q08WC8AICXNMsmffinthMiBIbighEV9Heqw
9.,鹿晗好拽,40.6万,https://tophub.today/l?e=075fB3MNA24A5DlyVEiEDjoUn5JoRXUvrNcYO9mo1DknNf0a%2Blq2zx3ayd1KeWdWwcSqDnZ%2F7mS94itCWTfu41wkl81yT6yNOEWlt7xDF9ctKtznOkFWMuKqYpq3Ivc3T0fvCywK4LSMOHEo0V1rNPqEvke5Aj5UDuongroKhoCQPNHJXhG6HeP5ZUo3tWRMULlGkZvzV7CECXnFg40o4QY
10.,蛇年春晚官宣,晚会 398048,https://tophub.today/l?e=19d0wSAlksBK7Igm6bzGNljXZvj0HMEbgPFcw3kPOPZvX6p%2BUgdcQvHI3gb3PrNVnN7q7izsNKRxoHtgTI%2Bly6l1F%2FJyUZcaFNq6mjOkCJF6IZIkOFPEh60a0MKGvSwEhICFfr89Hb1ui1jhoi6SFSzkX3oBmyY2Vo0k19Rp1jnYa9QQIqY7DRrquOTeF8amikM2BdNzkXg9t9oN2sLZaDHHhbnckKn%2F7WBCa4%2B2uSzRYwPcVXCfrDyorooik2M
11.,冯绍峰接想想放学回家,39.1万,https://tophub.today/l?e=0de3tqhXSvQ2fyj8%2BWT1u%2Bk7WVqa1IJZ%2B9%2B7368%2Fa%2FV03iZMkGcZJ3c%2BVnti3svxYIg1SPGyFDY%2FLOGymEVQFyggdAROMmbwO0RTJwBYqpnARqy%2BBGXqkHMRTA4eeZysAvUmeMQaC1Db4AIzIsb%2Fn%2FYpqC%2BUUgy2re9AXxJkq7qGBaswmu1ZG0v4EeoFYgWkw5hDLUICIDCOcZxlu0yhon5daeDA%2BSj67F04SmKsKv7xJMybZmLuhYa7ScYl4xtxJSw%2Fh47DkUKRUg1PU%2Fj2KoBTOvbKih4Cyyo1%2BAiBHaEnPpmLs5gf5Z4pF9hM2j4%2FOMKgk02AlGFtMY4
